Name,f,m,Keine Person,Unbekannt,Zuordnung,Bemerkungen
Bernhard-Kellermann-Straße,,x,,,m,
Bertha-von-Suttner-Straße,x,,,,f,
Bertinger Weg,,,x,,n,
Bertolt-Brecht-Straße,,x,,,m,
Bethanienstraße,x,,,,f,
Bettina-von-Arnim-Straße,x,,,,f,
Beyendorfer Dorfstraße,,,x,,n,
Beyendorfer Kirchweg,,,x,,n,
Beyendorfer Privatweg,,,x,,n,
Beyendorfer Straße,,,x,,n,
Beyendorfer Weg,,,x,,n,
Biberweg,,,x,,n,
Biederitzer Weg,,,x,,n,
Bienenweg,,,x,,n,
Bierer Weg,,,x,,n,
Biesengrund,,,,x,?,
Binsenbreite-Privatweg,,,x,,n,
Birkenallee,,,x,,n,
Birkenweg,,,x,,n,
Birkenweiler,,,x,,n,
Birkenweiler 1.Gartenweg,,,x,,n,
Birkenweiler 2.Gartenweg,,,x,,n,
Birkenweiler 3.Gartenweg,,,x,,n,
Birkenweiler 4.Gartenweg,,,x,,n,
Birkenweiler 5.Gartenweg,,,x,,n,
Birkenweiler 6.Gartenweg,,,x,,n,
Birkenweiler 7.Gartenweg,,,x,,n,
Birkenweiler 8.Gartenweg,,,x,,n,
Birkenweiler 9.Gartenweg,,,x,,n,
Birkhahnweg,,,x,,n,
Birkholzer Weg,,,x,,n,
Birnenweg,,,x,,n,
Bisamweg,,,x,,n,
Bittkauer Weg,,,x,,n,
Blankenburger Straße,,,x,,n,
Blauebeilstraße,,,x,,n,
Blechenweg,,,,x,?,
Bleckenburgstraße,,,x,,n,
Bleichenweg,,,,x,?,
Blesshuhnweg,,,x,,n,
Blumenberger Straße,,,x,,n,
Blumenstraße,,,x,,n,
Blütengasse,,,x,,n,
Blütengrund,,,x,,n,
Bodestraße,,,x,,n,
Bödikerstraße,,x,,,m,
Bölschestraße,,x,,,m,
Boquet-Graseweg,,x,,,m,
Bördeachtel,,,x,,n,
Bördebogen,,,x,,n,
Bördestraße,,,x,,n,
Borner Weg,,,x,,n,
Bornstedter Weg,,,x,,n,
Bötticherplatz,,x,,,m,
Brandenburger Straße,,,x,,n,
Brändströmweg,x,,,,f,
Brandtstraße,,,,x,?,
Brassenweg,,,x,,n,
Brauereistraße,,,x,,n,
Braunlager Straße,,,x,,n,
Braunschweiger Straße,,,x,,n,
Braunsfelde,,,,x,?,
Breite Straße,,,x,,n,
Breiter Weg,,,x,,n,
Breitscheidstraße,,x,,,m,
Bremer Straße,,,x,,n,
Brenneckestraße,,x,,,m,
Breslauer Weg,,,x,,n,
Brigitte-Reimann-Straße,x,,,,f,
Brombeerweg,,,x,,n,
Brücke am Wasserfall,,,x,,n,
Brückenbreite,,,x,,n,
Brückstraße,,,x,,n,
Brüderstraße,,,x,,n,
Brueghelweg,,x,,,m,
Brunnenweg,,,,x,?,
Brunnerstraße,,x,,,m,
Bruno-Beye-Ring,,x,,,m,
Bruno-Taut-Ring,,x,,,m,
Bruno-Wille-Straße,,x,,,m,
Buchenweg,,,x,,n,
Büchnerstraße,,,,x,?,
Buckauer Straße,,,x,,n,
Budenbergstraße,,x,,,m,
Büdener Straße,,,x,,n,
Bülstringer Straße,,,x,,n,
Bundschuhstraße,,,x,,n,
Bunsenstraße,,x,,,m,
Bunter Weg,,,x,,n,
Burchardstraße,,x,,,m,
Bürgelstraße,,x,,,m,
Burgenser Weg,,,x,,n,
Burger Straße,,,x,,n,
Burgkmairweg,,x,,,m,
Burgstaller Weg,,,x,,n,
Burgstraße,,,x,,n,
Buschbreite,,,x,,n,
Buschfeldstraße,,,x,,n,
Buschweg,,,x,,n,
Bussardweg,,,x,,n,
Calbische Straße,,,x,,n,
Calenberger Dorfstraße,,,x,,n,
Calenberger Straße,,,x,,n,
Calvörder Straße,,,x,,n,
Camersdorfer Straße,,,x,,n,
Carl-Krayl-Ring,,x,,,m,
Carl-Miller-Straße,,x,,,m,
Carnotstraße,,x,,,m,
Caspar-David-Friedrich-Weg,,x,,,m,
Charles-de-Gaulle-Platz,,x,,,m,
Charlottenstraße,x,,,,f,
Christa-Johannsen-Straße,x,,,,f,
Christian-Peicke-Straße,,x,,,m,
Cochstedter Straße,,,x,,n,
Colbitzer Straße,,,x,,n,
Comeniusstraße,,x,,,m,
Coquistraße,,x,,,m,
Coswiger Straße,,,x,,n,
Cracauer Straße,,,x,,n,
Crucigerstraße,,x,,,m,
Curiestraße,x,,,,f,
Dachsbreite,,,x,,n,
Dahlienweg,,,x,,n,
Damaschkeplatz,,x,,,m,
Damaschkeweg,,x,,,m,
Dannefelder Straße,,,x,,n,
Danzstraße,,x,,,m,
Dehmbergstraße,,,x,,n,
Deichweg,,,x,,n,
Denekestraße,,x,,,m,
Denhardtstraße,,,,x,?,
Dequeder Straße,,,x,,n,
Derenburger Weg,,,x,,n,
Dessauer Straße,,,x,,n,
Die Fahrt,,,x,,n,
Diesdorfer Graseweg,,,x,,n,
Diesdorfer Privatweg,,,x,,n,
Diesdorfer Wuhne,,,x,,n,
Diesterwegstraße,,,x,,n,
Dietrichstraße,,x,,,m,
Dillweg,,,x,,n,
Dinkelgrund,,,x,,n,
Distelweg,,,x,,n,
